County Name,State,Cases,Deaths,CasesPerCap,DeathsPerCap,TotalPop,IncomePerCap,Poverty,Unemployment
howard county,arkansas,4660,64,0.34590261282660334,0.004750593824228029,13472,23627,21.0,5.7
independence county,arkansas,12812,231,0.34536485430088687,0.0062269186187562334,37097,23056,18.5,6.0
izard county,arkansas,4730,78,0.34982619628725686,0.005768804082538274,13521,19737,17.7,9.6
jackson county,arkansas,7291,76,0.41832577887428996,0.004360548511102186,17429,19458,25.1,7.0
jefferson county,arkansas,22384,316,0.31361999635716586,0.004427444551861348,71373,20371,24.7,10.0
johnson county,arkansas,8209,104,0.31385968266105907,0.003976295163448672,26155,18757,22.5,4.7
lafayette county,arkansas,1510,30,0.2141540207062828,0.004254715643171181,7051,25140,23.8,8.3
lawrence county,arkansas,6535,90,0.3895213685402635,0.0053644870954282645,16777,19422,18.4,8.2
lee county,arkansas,3346,68,0.3480341169128354,0.007073018514666112,9614,15610,27.3,15.3
lincoln county,arkansas,5504,70,0.39639899171768095,0.005041411595246669,13885,13142,17.9,8.1
little river county,arkansas,3890,109,0.31134944773491274,0.008724187610052826,12494,23412,18.8,10.3
logan county,arkansas,6075,91,0.2786441610861389,0.004173928997339694,21802,19708,20.2,8.1
lonoke county,arkansas,24045,270,0.3359741784037559,0.003772635814889336,71568,25184,12.3,4.8
madison county,arkansas,4866,69,0.30590306154523167,0.004337712956560005,15907,23203,17.8,4.5
marion county,arkansas,4106,95,0.250763405398803,0.00580188103090265,16374,19200,19.5,7.7
miller county,arkansas,11636,210,0.2659049360146252,0.0047989031078610606,43760,22227,21.0,8.0
mississippi county,arkansas,16442,236,0.37768181191712225,0.005421050213626132,43534,20378,25.6,11.6
monroe county,arkansas,2311,40,0.311455525606469,0.005390835579514825,7420,20486,28.6,9.1
montgomery county,arkansas,1775,67,0.1959377414725687,0.007395959818964566,9059,21480,18.1,4.4
nevada county,arkansas,2777,47,0.32563320825515946,0.00551125703564728,8528,18644,23.0,4.8
newton county,arkansas,2055,54,0.26019245378576855,0.006837173968093188,7898,18053,17.8,4.0
ouachita county,arkansas,6779,127,0.27807859545491836,0.005209615226843876,24378,19780,26.0,8.3
perry county,arkansas,3020,43,0.2926356589147287,0.004166666666666667,10320,21781,17.8,6.5
phillips county,arkansas,5890,106,0.301772722615022,0.005430884311917204,19518,17287,33.0,15.7
pike county,arkansas,2965,49,0.2721931515652254,0.004498301661617553,10893,20180,17.3,5.1
poinsett county,arkansas,10128,140,0.42028384098265414,0.005809610756079343,24098,18361,21.4,5.4
polk county,arkansas,4654,161,0.2302592519295468,0.007965565010884622,20212,18735,26.6,8.5
pope county,arkansas,20974,230,0.330966357381809,0.003629363125670643,63372,21650,19.8,7.3
